,Item,Count, Correction,
3332,0.05ml of 1:100,1
3479,0.18% ns + 4% dextrose + 20mmol kcl,1
4518,0.25ml im adrenaline,1
4503,0.25ml iv adrenaline,1
4506,0.25ml po adrenaline,1
3481,0.45% ns,1
3482,0.45% ns + 5% dextrose,1
3483,0.45% ns + 5% dextrose + 20 mmol kcl,1
3282,0.45% saline,1
4543,0.45%ns,1
4542,0.45%ns + 5%dextrose,1
2337,0.5% normal saline,1
1389,0.5% permethrin,1
3072,0.5ml of 1:1000,1
3071,0.5ml of 1:10000,1
3480,0.9% ns,1
3283,0.9% saline,1
4540,0.9%ns,1
4541,0.9%ns + 5%dextrose,1
1820,1 alpha hydroxylation of vit d,1
1837,1 single injection dt,1
1836,1 single injection dtp,1
3210,1% hydrocortisone ointment,1
3877,1-2,1
2638,100% oxyen inhalation,1
384,100% oxygen,4
3691,10mg diazepam in 500ml 0.9%ns in 1h,1
3466,10ml of 10% calcium gluconate,1
1935,"10u insulin, 50ml of 50% dextrose infusion",1,10u insulin, 50ml of 50% dextrose infusion
3465,10units insulin with 50% dextrose,1
2297,1400,1
4389,15 compression: 2 breaths with nose pinched,1
4390,15 compression: 2 breaths without nose pinched,1
4402,15-30%,1
2296,1750,1
3365,18m of carbimazole alone,1
3366,18m of ptu (propylthyouracil) alone,1
1905,1:1,1
3172,1:1000,1
500,1:16,3
508,1:2,3
3170,1:200,1
501,1:4,3
3169,1:50,1
3171,1:500,1
3173,1:5000,1
882,1:8,2
3070,1ml of 1:500,1
1761,1st degree heart block,1
1039,1st tracheal cartilage,2
2464,2 months,1
3878,2-3,1
4231,20% mannitol iv,1
2294,2100,1
4425,24% oxygen,1
2639,24% oxygen by mask,1
1207,24h bp monitoring,2
161,24h ecg,6
2085,24h ecg monitoring,1
2440,24h esophageal ph probe test,1
4450,24h help line,1
1628,24h pp,1,24-hour postpartum
1671,24h urinary cortisol,1
4030,24h urinary protein (1st),1,24h urinary protein
1806,25 alpha hydroxylation of vit d,1
1375,2:3,1
3703,2g mgso4 in 500ml ns in 1h,1
1212,2g mgso4 iv bolus,2
3879,3-4,1
4391,30 breaths: 2 compressions,1
4401,30-40%,1
2299,350,1
2469,3rd ventricle,1
3615,4 x weight(kgs) x area of burn = l of fluids,1
3616,4 x weight(kgs) x area of burn = ml of fluids,1
3617,4 x weight(lbs) x area of burn = l of fluids,1
3614,4 x weight(lbs) x area of burn = ml of fluids,1
2450,4-vessel cerebral angiogram,1
3618,4.5 x weight(kgs) x area of burn = dl of fluids,1
4400,40-50%,1
1649,48h pp,1,48h postpartum
1213,4g mgso4 in 100ml 0.9%ns in 5mins,2
3702,4g mgso4 iv bolus,1
4387,5 compression: 1 breath,1
4388,5 compression: 2 breaths,1
2342,5% dextrose in 0.5n saline solution,1
1934,5% dextrose infusion,1
1485,5% permethrin,1
1674,5d pp,1,5 days postpartum
3707,5mg hydralazine iv,1
3069,5ml of 1:1000,1
2477,6 months,1
1624,6h pp,1,6h postpartum
2298,700,1
1672,72h pp,1,72h postpartum
3726,8th cn,1,8th cranial nerves
3876,<1,1
4404,<15%,1
3923,>11.1mmol/l,1
4398,>50%,1
3367,a combo od anti-thyroid drug an0d thyroxine,1
2784,a needle-guided biopsy of the breast,1
2110,a normal 8am cortisol,1
59,a-fib,10,atrial fibrilation
458,a-flutter,4,atrial flutter
3164,a.	2nd person auditory hallucinations,1
2962,a.	fundus of the gallbladder,1
1787,a1 antitrypsin def,1
2878,abdomen us,1,abdominal us
3557,abdomen xr,1,abdominal xr
2750,abdominal binder,1
2072,abdominal distention,1
2060,abdominal hysterectomy,1
574,abdominal myomectomy,3
2347,abdominal perineal resection,1
2305,abdominal support,1
37,abdominal us,12
1255,abdominal xr,2
3609,abducens nerve,1
4334,abductor pollicis longus,1
28,abg,13,arterial blood gas
3933,abo incompatibility,1
1593,abortion,1
1675,abruption of placenta 2nd pre-eclampsia,1,placental abruption secondary to preeclampsia
1673,abruption of placenta 2nd preeclampsia,1,placental abruption secondary to preeclampsia
